,Box office
0,21400000.0
1,2700000.0
2,57700000.0
3,7331647.0
4,6939946.0
5,153500000.0
6,53200000.0
7,15700000.0
8,246100000.0
9,12626043.0
10,19740070.0
11,138700000.0
12,1292323.0
13,15600000.0
14,27600000.0
15,5000000.0
16,35800000.0
17,2400000.0
18,947306.0
19,6000000.0
20,8300000.000000001
21,1373728.0
22,424200000.0
23,48800000.0
24,157900000.0
25,2200000.0
26,6698361.0
27,2700000.0
28,162700000.0
29,240200000.0
30,2346150.0
31,2000000.0
32,18100000.0
33,86000000.0
34,25000000.0
35,1372350.0
36,44000000.0
37,14760451.0
38,22424195.0
39,61500000.0
40,1823154.0
41,1305887.0
42,335000.0
43,21460601.0
44,8100000.0
45,505700000.0
46,25000000.0
47,136800000.0
48,47100000.0
49,4600000.0
50,29900000.0
51,41500000.0
52,13446769.0
53,17000000.0
54,4960385.0
55,59000000.0
56,9243140.0
57,4134992.0
58,23500000.0
59,476700000.0
60,1293976.0
61,26400000.0
62,200500000.0
63,16200000.0
64,27700000.0
65,26100000.0
66,20300000.0
67,39400000.0
68,202000000.0
69,2500000.0
70,5700000.0
71,24300000.0
72,47800000.0
73,5585154.0
74,14000000.0
75,1400000.0
76,21000000.0
77,92706.0
78,58000000.0
79,27000000.0
80,16247964.0
81,6000000.0
82,35400000.0
83,2900000.0
84,9900000.0
85,5000000.0
86,61300000.0
87,16153600.0
88,4011793.0
89,15379253.0
90,7698010.0
91,23600000.0
92,10900000.0
93,25100000.0
94,17400000.0
95,5800000.0
96,16000000.0
97,1700000.0
98,11359129.0
99,55000000.0
100,3779620.0
101,3331.0
102,39100000.0
103,57100000.0
104,221300000.0
105,463400000.0
106,72200000.0
107,11500000.0
108,11207891.0
109,15300000.0
110,1400000.0
111,47400000.0
112,15535771.0
113,15400000.0
114,45700000.0
115,1300000.0
116,119900000.0
117,21600000.0
118,739104.0
119,3417056.0
120,4010647.0
121,152982.0
122,458996.0
123,17854930.0
124,450000.0
125,1200000.0
126,43982.0
127,15400000.0
128,52310.0
129,5800000.0
130,1911542.0
131,20240128.0
132,20000000.0
133,16300000.0
134,202000000.0
135,2300000.0
136,71600000.0
137,1161135.0
138,261300000.0
139,16700000.0
140,1794001.0
141,10000000.0
142,3989000.0
143,1106475.0
144,2000000.0
145,17487531.0
146,83882.0
147,14600000.0
148,15300000.0
149,59000000.0
150,2120564.0
151,191500000.0
152,14812144.0
153,40800000.0
154,2865916.0
155,1342903.0
156,152400000.0
157,6200000.0
158,440100000.0
159,38000000.0
160,15500000.0
161,8667684.0
162,9200000.0
163,57500000.0
164,49100000.0
165,9689816.0
166,6220.0
167,182300000.0
168,11300000.0
169,20500000.0
170,1300000.0
171,180000000.0
172,28277918.0
173,259012.0
174,14900000.0
175,1501785.0
176,1200000.0
177,33700000.0
178,38000000.0
179,28700000.0
180,16399999.999999998
181,6413375.0
182,5546827.0
183,54800000.0
184,38000000.0
185,394631.0
186,25100000.0
187,34400000.0
188,80500000.0
189,14800000.0
190,4600000.0
191,82300000.0
192,14100000.0
193,5451119.0
194,21100000.0
195,89300000.0
196,41900000.0
197,8750400.0
198,14587732.0
199,23200000.0
200,67000000.0
201,34900000.0
202,119400000.0
203,40991329.0
204,9480000.0
205,306319.0
206,65599999.99999999
207,7434726.0
208,9804775.0
209,15600000.0
210,4654288.0
211,2971661.0
212,300900000.0
213,181100000.0
214,19438638.0
215,97000000.0
216,7800000.0
217,191125.0
218,583979.0
219,205400000.0
220,43900000.0
221,1100000.0
222,52487045.0
223,15400000.0
224,28900000.0
225,114500000.0
226,133645.0
227,4100000.0
228,25000000.0
229,29000000.0
230,2800000.0
231,12500000.0
232,456127.0
233,20200000.0
234,18800000.0
235,121500000.0
236,6400000.0
237,6200000.0
238,192000000.0
239,2600000.0
240,26300000.0
241,47600000.0
242,2000000.0
243,14789113.0
244,8400000.0
245,5136759.0
246,14851083.0
247,11000000.0
248,25100000.0
249,23500000.0
250,25682090.0
251,39673161.0
252,18634643.0
253,267265.0
254,31400000.0
255,14061361.0
256,83500000.0
257,787280.0
258,135000000.0
259,32700000.000000004
260,72200000.0
261,24900000.0
262,10400000.0
263,6300000.0
264,1300000.0
265,43000000.0
266,2800000.0
267,21756163.0
268,390500000.0
269,46700000.0
270,4000000.0
271,7200000.0
272,9563393.0
273,2735731.0
274,11511031.0
275,3547684.0
276,2300000.0
