Title,Genres,Running time,Directed by,Starring,Release date,Produced by,Distributed by,Music by,Edited by,Cinematography,Language,Box office,Country,Budget,Written by,Screenplay by,Based on,rsp,Production companies
The Adventures of Ford Fairlane,"['action', 'comedy', 'mystery']",102.0,['Renny Harlin'],"['Andrew Dice Clay', 'Wayne Newton', 'Priscilla Presley', 'Morris Day', 'Robert Englund', 'Ed ONeill']",1990-07-11,"['Steve Perry', 'Joel Silver']",['20th Century Fox'],['Yello'],['Michael Tronick'],['Oliver Wood'],English,21400000.0,United States,20000000.0,,"['David Arnott', 'James Cappe', 'Daniel Waters']",1,0,['Silver Pictures']
"After Dark, My Sweet",['crime'],114.0,['James Foley'],"['Jason Patric', 'Rachel Ward', 'Bruce Dern', 'George Dickerson']",1990-05-17,['Ric KidneyRobert Redlin'],['Avenue Pictures'],['Maurice Jarre'],['Howard E. Smith'],['Mark Plummer'],English,2700000.0,United States,6000000.0,,['James FoleyRobert Redlin'],1,0,['Avenue Pictures']
Air America,['action comedy'],113.0,['Roger Spottiswoode'],"['Mel Gibson', 'Robert Downey Jr.', 'Nancy Travis', 'David Marshall Grant', 'Lane Smith']",1990-08-10,['Daniel MelnickMario Kassar'],['TriStar Pictures'],['Charles Gross'],['John BloomLois Freeman-Fox'],['Roger Deakins'],English,57700000.0,United States,32500000.0,,"['John Eskow', 'Richard Rush']",1,0,['Carolco PicturesIndieProd Company']
Alice,"['romantic', 'fantasy']",106.0,['Woody Allen'],"['Alec Baldwin', 'Blythe Danner', 'Judy Davis', 'Mia Farrow', 'William Hurt', 'Keye Luke', 'Joe Mantegna', 'Bernadette Peters']",1990-12-25,['Robert Greenhut'],['Orion Pictures'],,['Susan E. Morse'],['Carlo Di Palma'],English,7331647.0,United States,12000000.0,['Woody Allen'],,0,0,
Almost an Angel,,95.0,['John Cornell'],"['Paul Hogan', 'Elias Koteas', 'Linda Kozlowski']",1990-12-19,['John Cornell'],['Paramount Pictures'],['Maurice Jarre'],['David Stiven'],['Russell Boyd'],English,6939946.0,United States,25000000.0,['Paul Hogan'],,0,0,
Angel Town,['martial arts'],102.0,['Eric Karson'],"['Olivier Gruner', 'Theresa Saldana', 'Frank Aragon', 'Tony Valentino', 'Peter Kwong', 'Mike Moroff']",,['Ash R. ShahEric Karson'],['Imperial Entertainment'],['Terry Plumeri'],['Duane Hartzell'],['John LeBlanc'],English,855810.0,United States,,['S. Warren'],,0,0,
Another 48 Hrs.,['buddy cop'],95.0,['Walter Hill'],"['Eddie Murphy', 'Nick Nolte']",1990-06-08,"['Lawrence Gordon', 'Robert D. Wachs']",['Paramount Pictures'],['James Horner'],"['Donn Aron', 'Carmel Davies', 'Freeman A. Davies', 'Tim Ryder']",['Matthew F. Leonetti'],English,153500000.0,United States,50000000.0,,"['John Fasano', 'Jeb Stuart', 'Larry Gross']",1,0,['Eddie Murphy Productions']
48 Hrs.,"['buddy cop', 'action', 'comedy']",96.0,['Walter Hill'],"['Nick Nolte', 'Eddie Murphy', 'Annette OToole']",1982-12-08,"['Lawrence Gordon', 'Joel Silver']",['Paramount Pictures'],['James Horner'],"['Freeman A. Davies', 'Mark Warner', 'Billy Weber']",['Ric Waite'],English,78900000.0,United States,12000000.0,"['Roger Spottiswoode', 'Walter Hill', 'Larry Gross', 'Steven E. de Souza']",,0,0,['Lawrence Gordon Productions']
Arachnophobia,"['horror', 'other']",110.0,['Frank Marshall'],"['Jeff Daniels', 'Julian Sands', 'Harley Jane Kozak', 'John Goodman']",1990-07-18,"['Kathleen Kennedy', 'Richard Vane']",['Buena Vista Pictures'],['Trevor Jones'],['Michael Kahn'],['Mikael Salomon'],English,53200000.0,United States,22000000.0,,['Don JakobyWesley Strick'],0,0,"['Hollywood Pictures', 'Amblin Entertainment', 'Tangled Web Productions']"
Avalon,['drama'],126.0,['Barry Levinson'],"['Armin Mueller-Stahl', 'Elizabeth Perkins', 'Joan Plowright', 'Aidan Quinn']",1990-10-05,"['Mark Johnson', 'Barry Levinson']","['TriStar Pictures(United States)', 'Columbia Pictures(United Kingdom)']",['Randy Newman'],['Stu Linder'],['Allen Daviau'],,15700000.0,United States,20000000.0,['Barry Levinson'],,0,0,['Baltimore Pictures']
Awakenings,['drama'],121.0,['Penny Marshall'],"['Robert De Niro', 'Robin Williams', 'John Heard', 'Julie Kavner', 'Penelope Ann Miller', 'Max von Sydow']",,"['Walter F. Parkes', 'Lawrence Lasker']",['Columbia Pictures'],['Randy Newman'],['Battle DavisJerry Greenberg'],['Miroslav Ondricek'],English,52100000.0,United States,29000000.0,,['Steven Zaillian'],1,0,['Lasker/Parkes Productions']
Back to the Future Part III,"['science fiction', 'western', 'comedy']",119.0,['Robert Zemeckis'],"['Michael J. Fox', 'Christopher Lloyd', 'Mary Steenburgen', 'Thomas F. Wilson', 'Lea Thompson']",1990-05-25,"['Bob Gale', 'Neil Canton']",['Universal Pictures'],['Alan Silvestri'],"['Arthur Schmidt', 'Harry Keramidas']",['Dean Cundey'],English,246100000.0,United States,40000000.0,,['Bob Gale'],1,0,"['Amblin Entertainment', 'Universal Pictures']"
Bad Influence,,100.0,['Curtis Hanson'],"['Rob Lowe', 'James Spader']",1990-03-09,['Steve Tisch'],['Triumph Releasing Corporation'],['Trevor Jones'],['Bonnie Koehler'],['Robert Elswit'],English,12626043.0,United States,7000000.0,['David Koepp'],,0,0,['Epic Productions']
Betsy's Wedding,,94.0,['Alan Alda'],"['Alan Alda', 'Joey Bishop', 'Madeline Kahn', 'Catherine OHara', 'Joe Pesci', 'Ally Sheedy', 'Burt Young', 'Molly Ringwald']",1990-06-22,['Martin Bregman Louis A. Stroller'],['Buena Vista Pictures'],['Bruce Broughton'],['Michael E. Polakow'],['Kelvin Pike'],English,19740070.0,United States,,['Alan Alda'],,0,0,['Touchstone Pictures']
