,Title
0,The Adventures of Ford Fairlane
1,"After Dark, My Sweet"
2,Air America
3,Alice
4,Almost an Angel
5,Another 48 Hrs.
6,Arachnophobia
7,Avalon
8,Back to the Future Part III
9,Bad Influence
10,Betsy's Wedding
11,Bird on a Wire
12,Bloodfist II
13,The Bonfire of the Vanities
14,Cadillac Man
15,Catchfire
16,Child's Play 2
17,Class of 1999
18,Come See the Paradise
19,Coupe de Ville
20,Cry-Baby
21,Daddy's Dyin': Who's Got the Will?
22,Dances with Wolves
23,Darkman
24,Days of Thunder
25,Def by Temptation
26,Delta Force 2: The Colombian Connection
27,Desperate Hours
28,Dick Tracy
29,Die Hard 2
30,Downtown
31,Dreams
32,DuckTales the Movie: Treasure of the Lost Lamp
33,Edward Scissorhands
34,Ernest Goes to Jail
35,Everybody Wins
36,The Exorcist III
37,Fire Birds
38,The First Power
39,Flatliners
40,The Forbidden Dance
41,The Fourth War
42,Frankenstein Unbound
43,The Freshman
44,Funny About Love
45,Ghost
46,Ghost Dad
47,The Godfather Part III
48,Goodfellas
49,Graffiti Bridge
50,Green Card
51,Gremlins 2: The New Batch
52,The Grifters
53,The Guardian
54,The Handmaid's Tale
55,Hard to Kill
56,Havana
57,Heart Condition
58,Henry & June
59,Home Alone
60,The Hot Spot
61,House Party
62,The Hunt for Red October
63,I Love You to Death
64,Internal Affairs
65,Jacob's Ladder
66,Jetsons: The Movie
67,Joe Versus the Volcano
68,Kindergarten Cop
69,King of New York
70,Leatherface: The Texas Chainsaw Massacre III
71,Lionheart
72,Look Who's Talking Too
73,Loose Cannons
74,Lord of the Flies
75,Love at Large
76,Madhouse
77,A Man Called Sarge
78,Marked for Death
79,Memphis Belle
80,Men at Work
81,Men Don't Leave
82,Mermaids
83,Metropolitan
84,Miami Blues
85,Miller's Crossing
86,Misery
87,Mo' Better Blues
88,Mountains of the Moon
89,Mr. Destiny
90,Mr. and Mrs. Bridge
91,My Blue Heaven
92,Narrow Margin
93,Navy SEALs
94,The NeverEnding Story II: The Next Chapter
95,Night of the Living Dead
96,Nightbreed
97,The Nutcracker Prince
98,Opportunity Knocks
99,Pacific Heights
100,Paris Is Burning
101,The Pit and the Pendulum
102,Postcards from the Edge
103,Predator 2
104,Presumed Innocent
105,Pretty Woman
106,Problem Child
107,Pump Up the Volume
108,Q & A
109,Quick Change
110,Repossessed
111,The Rescuers Down Under
112,Revenge
113,Reversal of Fortune
114,RoboCop 2
115,Robot Jox
116,Rocky V
117,The Rookie
118,Rosencrantz & Guildenstern Are Dead
119,A Shock to the System
120,Short Time
121,A Show of Force
122,The Shrimp on the Barbie
123,Sibling Rivalry
124,Side Out
